codigo,Municipio,Consumo percapita,Perdas distribuicao,Producao,Consumo
2612307,Saloá,38.1,6.78,88.78,77.31
2612406,Sanharó,54.1,37.57,673.37,412.66
2612455,Santa Cruz,81,51.2,434.69,191.75
2612471,Santa Cruz da Baixa Verde,77.3,27.43,7.62,5.53
2612505,Santa Cruz do Capibaribe,45,26.76,2020.13,1299.61
2612554,Santa Filomena,73.4,4.03,138.72,132.11
2612604,Santa Maria da Boa Vista,90.9,52.26,1387.92,567.64
2612703,Santa Maria do Cambucá,52.1,24.09,168.22,123.18
2612802,Santa Terezinha,63.8,17.14,242.1,196.91
2613008,São Bento do Una,55.9,48.66,1109.81,550.46
2613107,São Caitano,73.5,26.37,1036.03,744.15
2613206,São João,84.3,13.69,515.87,416.6
2613305,São Joaquim do Monte,87.3,28.23,729.55,504.33
2613503,São José do Belmonte,84.9,37.84,1128.91,616.12
2613602,São José do Egito,57.5,18.97,667.35,513.26
2613909,Serra Talhada,94.8,43.59,5691.98,2853.82
2614006,Serrita,67.7,NA,277.11,263.91
2614105,Sertânia,63.6,18.58,570.7,451.16
2614303,Moreilândia,69.2,38.02,280.33,134.29
2614402,Solidão,53.6,29.43,56.75,39.35
2614501,Surubim,68.4,28.55,2334.91,1534.77
2614600,Tabira,73.8,52.63,1655.44,679.94
2614709,Tacaimbó,75.2,21.45,316.01,242.39
2614808,Tacaratu,83.9,41.9,925.79,463.29
2615003,Taquaritinga do Norte,11.7,NA,38.66,36.82
2615102,Terezinha,62.1,40.95,146.99,79.89
2615201,Terra Nova,75.6,27.13,389.17,264.88
2615409,Toritama,50.8,16.53,823.21,630.06
2615607,Trindade,74.9,24.9,1095.31,797.62
2615706,Triunfo,51.5,12.91,195.24,149.15
2615805,Tupanatinga,69.3,20.33,384.05,292.1
2615904,Tuparetama,48.2,26.22,203.27,143.13
2616001,Venturosa,2.8,NA,9.71,9.25
2616100,Verdejante,74.4,54.42,600.66,251.66
2616183,Vertente do Lério,42.1,9.14,54.3,46.25
2616209,Vertentes,58.3,42.6,564.04,306.95
2700102,Água Branca,91.7,33.67,156.87,442.8
2700300,Arapiraca,102,54.39,258.29,8223.24
2700706,Batalha,80.1,68.96,0,410.03
2700904,Belo Monte,117.1,78.5,0,77.34
2701209,Cacimbinhas,105.3,62.32,0,74.28
2701605,Canapi,97.6,0.58,0,200.69
2701803,Carneiros,98.2,61.59,0,203.9
2702009,Coité do Nóia,84.8,62.51,0,106.92
2702355,Craíbas,99.8,62.8,0,538.11
2702405,Delmiro Gouveia,78.1,67.96,9811.65,3143.78
2702504,Dois Riachos,109.7,64.08,0,152.98
2702553,Estrela de Alagoas,65.7,3.08,188.42,182.61
2702900,Girau do Ponciano,107.3,36.42,0,631.69
2703106,Igaci,88.1,39.68,0,417.02
2703304,Inhapi,89.3,26.08,0,271.52
